track.id,track.name,track.artist,track.album.name,category,tempo,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,duration_min
5I9vAmNTBXXWBtKmjnBSGS,draußen essen spät schlafen 💤,Pashanim,Tage vor 2000,Hip-Hop,112.115,-9.014,0.159,0.904,0.553,0.0101,0.096,0.222,0.256,2.5929
5qQLBOEAelSN7JWqX3RIIv,Liebe Grüsse,RAF Camora,Liebe Grüsse,Hip-Hop,130.012,-6.76,0.179,0.796,0.865,0.0114,0.0852,0.0801,0.768,2.2831
2nxqny7u02Uqz7Jn7uXLiV,Hayat,Nimo,Hayat,Hip-Hop,123.013,-6.621,0.0437,0.886,0.601,0,0.0733,0.109,0.685,2.7676
2cPqx00sDnkXgxHg9fSZQj,BLESSED,badmómzjay,BLESSED,Hip-Hop,104.695,-7.421,0.0452,0.693,0.771,0.00172,0.105,0.285,0.271,2.8605
4RzIPi5kcw5gYAd07I8NDz,À la Carte,MADE,À la Carte,Hip-Hop,118.015,-9.535,0.211,0.784,0.52,2.61e-5,0.106,0.0686,0.138,3.017
0ilv9z83lQUzinVaznibpJ,Facts,Luciano,Seductive,Hip-Hop,145.988,-9.472,0.0149,0.813,0.499,0.0565,0.0892,0.083,0.716,2.1947
5pddRrf8WMrCU7u7LsAzxL,Bevor du gehst,Nimo,Bevor du gehst,Hip-Hop,123.786,-7.276,0.0267,0.836,0.755,2.47e-6,0.36,0.174,0.494,3.4888
7G6CXD57a8mIUFoOrmMhU7,Ella,Monet192,Ella,Hip-Hop,101.055,-9.687,0.0708,0.805,0.548,0.00908,0.134,0.0625,0.224,2.1502
3ThmZJ7LQ3C20FpxU5kXJB,BANDIT,Bobby Vandamme,BANDIT,Hip-Hop,95.988,-7.718,0.203,0.753,0.595,0,0.107,0.161,0.533,2.3418
5EPCjpsREjRTJuc0ygwfbu,SCHWARZ,Kolja Goldstein,SCHWARZ,Hip-Hop,92.93,-6.587,0.0446,0.753,0.635,5.71e-5,0.0975,0.279,0.597,2.6
6u4gVQaOhsWhnSS5LIZbTI,back2life,YAKARY,back2life,Hip-Hop,95.713,-7.049,0.0929,0.603,0.603,1.74e-6,0.127,0.216,0.274,2.5033
09i3DCifm50ivVqqi3zl9b,Red Dot (feat. Shindy & AJ Tracey),DJ JEEZY,Red Dot (feat. Shindy & AJ Tracey),Hip-Hop,82.132,-6.753,0.035,0.88,0.678,0,0.112,0.266,0.554,1.8926
10sTXZxK7sduRRz34BHQCS,5ive on it,KALIM,"partys, pain & pistolen",Hip-Hop,94.383,-8.545,0.0123,0.631,0.482,4.35e-6,0.117,0.362,0.68,2.2105
6HEto05GbTMwdbE68M3kXU,BONITA (feat. AJ Tracey),Jamal,BONITA (feat. AJ Tracey),Hip-Hop,121.991,-6.383,0.14,0.862,0.729,0,0.382,0.109,0.741,2.7049
49eUJPgw2cLb2rWxNlk20q,What Happened,Luciano,Seductive,Hip-Hop,142.958,-7.464,0.00809,0.873,0.454,0.00428,0.0808,0.426,0.296,2.4662
5422qkk67RSNZizub4XkDX,Airberlin,Pashanim,Tage vor 2000,Hip-Hop,139.42,-8.728,0.0776,0.51,0.575,0.00369,0.104,0.258,0.295,2.7582
3MjHpVULKNjQFrkOlgoXwW,112,Jazeek,112,Hip-Hop,126.561,-5.726,0.275,0.614,0.528,2.2e-5,0.347,0.326,0.735,2.4468
5FkbVGXhQBdF7PooGLnX2X,ES TUT MIR LEID,Capital Bra,ES TUT MIR LEID,Hip-Hop,77.41,-7.219,0.0426,0.627,0.576,1.2e-4,0.0722,0.347,0.312,3.2833
5ReQQXU6JXKWOi0O9GwI9x,MONEY & FAME,Bonez MC,MONEY & FAME,Hip-Hop,102.227,-7.71,0.295,0.582,0.556,9.53e-6,0.278,0.277,0.319,2.4831
5ip9eQ3VyleYFDK0ix9b9y,SAVAGE (feat. LAYLA),KALIM,T.O.T.Y.,Hip-Hop,98.9,-6.936,0.0157,0.666,0.725,3.06e-5,0.215,0.267,0.478,1.92
4V0q9K3hUyFzwFjV7DXYVk,Elend 77,Bobby Vandamme,Elend 77,Hip-Hop,129.806,-12.251,0.424,0.606,0.388,1.56e-5,0.085,0.448,0.324,2.4935
1G9JX6CBlsJKCJZEkukFBv,PLUGPARTY (XXX),KARDO,PLUGPARTY (XXX),Hip-Hop,120.017,-6.725,0.0203,0.859,0.732,6.12e-5,0.188,0.106,0.461,2.4276
4jhQOtHfWQq6GYkhvsAkOq,Wie beim ersten Mal,Nimo,Wie beim ersten Mal,Hip-Hop,120.005,-9.508,0.0246,0.87,0.668,0,0.0668,0.0999,0.293,2.5667
3gOVMei7c4BD6oIfed24dc,Blue Porsche (feat. Niska),Luciano,Blue Porsche (feat. Niska),Hip-Hop,155.997,-5.472,0.0041,0.866,0.685,8.71e-5,0.117,0.245,0.478,3.108
4vGhT92FljhMcp7dOp2xh3,STOP & GO (feat. Billa Joe),Summer Cem,STOP & GO (feat. Billa Joe),Hip-Hop,83.478,-4.928,0.0734,0.618,0.752,9.89e-6,0.386,0.146,0.147,2.4822
26WNwITdE1JFiMuHhBpgpt,Schutzengel,Olexesh,Schutzengel,Hip-Hop,92.772,-7.289,0.45,0.719,0.641,0,0.181,0.362,0.354,2.6333
5Tpojb1ynbO0MgfAwgDza5,WONDERFUL LIFE,Luciano,WONDERFUL LIFE,Hip-Hop,136.072,-6.746,0.123,0.786,0.66,0.00425,0.141,0.127,0.65,2.8425
2e3bkN2QCScPUnUQiA9ZA4,Affalterbach,Shindy,Drama,Hip-Hop,86.982,-4.893,0.0126,0.819,0.633,0,0.381,0.328,0.808,2.9026
5frE7fIwvQMKHpzl86FpVG,Alles Auf Schwarz,CAPO,Alles Auf Schwarz,Hip-Hop,121.064,-7.636,0.104,0.705,0.649,0.00652,0.112,0.0555,0.318,3.5065
020fQowWGE54urxH67pgFx,Wittenbergplatz,Lucio101,Wittenbergplatz,Hip-Hop,141.881,-9.427,0.407,0.837,0.497,1.27e-5,0.141,0.334,0.596,2.2917
1r7IMEVWrZyeAHYq8ifRdx,TECHNISCHES K.O.,Farid Bang,TECHNISCHES K.O.,Hip-Hop,89.349,-5.643,0.268,0.535,0.744,0,0.0975,0.358,0.25,3.7249
2bicGF7dHTbCynG3cgD485,Ich schwör bei Gott,1986zig,Ich schwör bei Gott,Hip-Hop,171.923,-4.521,0.233,0.569,0.792,0,0.14,0.285,0.372,2.2998
79a01EHTfRcawBficMnn3C,Dezember,Monet192,Dezember,Hip-Hop,108.924,-5.564,0.152,0.735,0.818,6.45e-4,0.0839,0.0343,0.385,2.4472
3TtMpKmCc29Uapu48W6xG5,Ché & A,Celo & Abdi,Ché & A,Hip-Hop,90.994,-4.779,0.00618,0.855,0.71,0,0.159,0.227,0.492,2.7286
6L9kY8Q2kdNzWwL2rSWXwB,Kein Spaß,Lucio101,Kein Spaß,Hip-Hop,133.969,-8.802,0.00669,0.809,0.562,0.0182,0.136,0.0749,0.0645,1.7985
5kllPxnLHV4zPwVgA6tyBl,FREI,Symba,FREI,Hip-Hop,120.026,-8.909,0.591,0.593,0.506,0,0.22,0.107,0.123,3.379
5uhqML0FUdcm8BQyAKAiH5,27,Loredana,27,Hip-Hop,139.564,-10.796,0.316,0.51,0.456,0.00305,0.116,0.163,0.0864,2.8032
2Cog6WTjyfEqZEj0eecGeS,Lovesong,Loredana,Lovesong,Hip-Hop,129.986,-6.584,0.0812,0.932,0.617,0,0.0727,0.123,0.183,2.1693
2PGZW0lgsPapgn4n9TwTQl,Champagne,Zymba,Champagne,Hip-Hop,103.007,-5.042,0.126,0.859,0.798,0,0.103,0.262,0.502,2.2039
12dYvaZ4yBRFxVca1OIW33,Der Block tobt,VOLO,Der Block tobt,Hip-Hop,82.965,-6.105,0.22,0.656,0.878,0,0.246,0.447,0.77,2.4568
3jqPxFjXdOtxKjNyejJx6g,Dauwag,Soso Mcr,Dauwag,Hip-Hop,90.028,-5.74,0.113,0.766,0.785,8.7e-6,0.107,0.11,0.242,3.0438
2eNQQztnCzi227uthlfmZc,FROZEN INHALIEREN,jaynbeats,RAYN 5,Hip-Hop,112.015,-9.778,0.166,0.964,0.482,0,0.118,0.336,0.427,2.0179
0JpOu4INivVZxoqi2rRVGB,Pull Up,MADE,Pull Up,Hip-Hop,110.036,-10.537,0.769,0.683,0.548,0.00408,0.11,0.0547,0.412,3.6794
13kisemm64Vnf68ELLeelF,Tous Les Jours,MADE,Tous Les Jours,Hip-Hop,99.036,-10.684,0.219,0.673,0.532,0,0.0783,0.275,0.203,2.4646
0YsWkOZydchvwAvc4gEqeN,ASOZIALE MAROKKANER,Farid Bang,ASOZIALE MAROKKANER,Hip-Hop,90.812,-5.44,0.68,0.552,0.736,0,0.108,0.334,0.473,2.6544
7x2Qv0mB0LoM5o6gzh0eCV,Amsterdam,ROTE MÜTZE RAPHI,Amsterdam,Hip-Hop,139.913,-5.032,0.0734,0.775,0.823,0,0.247,0.169,0.124,2.5714
4GpCJoDHCqj2wn9ETvIdE4,Mein Herz,DANO,Mein Herz,Hip-Hop,128.822,-10.207,0.748,0.693,0.558,0.291,0.124,0.302,0.292,2.2946
2CdojTcGQpPXLDO1z27SLk,Rote Pupille,OMAR,HABIBA,Hip-Hop,94.001,-7.163,0.412,0.721,0.62,0,0.288,0.285,0.537,2.4573
053VThPNYkPb0WGJbroAiV,Pegasus,Keko-G,Pegasus,Hip-Hop,140.108,-7.53,0.562,0.803,0.647,0,0.296,0.544,0.637,2.8047
4CEUAl3bTLACpk460kjzjW,Clio,Kalazh44,Clio,Hip-Hop,117.941,-7.934,0.58,0.839,0.656,0.00324,0.115,0.249,0.535,2.3474
3xCD1ekTnkeZppNy5ZK3Ii,LA VIDA LOCA,Hassuna,LA VIDA LOCA,Hip-Hop,144.041,-6.08,0.63,0.802,0.776,0.752,0.157,0.0686,0.536,2.2256
7w5CAI3B87hP72LxFserqf,Anruf,Mikael,Anruf,Hip-Hop,123.871,-6.876,0.429,0.685,0.783,7.25e-5,0.276,0.121,0.376,2.5
3kr2FT1wFQ2DjLK1becs6k,24/7,Undacava,24/7,Hip-Hop,91.93,-2.842,0.319,0.852,0.756,0,0.114,0.348,0.561,2.6627
2ZRHMC9RpPdwb93SzxSF26,Shqiptar in Marrakesh,Rap La Rue,Shqiptar in Marrakesh,Hip-Hop,143.001,-6.465,0.413,0.811,0.728,0.00157,0.201,0.23,0.729,2.2948
4LM5O3Qsyum942IjCgmSoV,Hausverbot,102 Boyz,Hausverbot,Hip-Hop,135.923,-6.478,0.166,0.835,0.669,0,0.0777,0.195,0.803,2.07
1YEXYfYHxvN5Ibs8PexCrl,Willst Du,Rosc,Willst du,Hip-Hop,142.014,-7.813,0.137,0.858,0.724,8.42e-5,0.266,0.342,0.7,2.8341
1xsNkzmx4bdunMLM1VhSgy,Nicht pünktlich,KASIMIR1441,Nicht pünktlich,Hip-Hop,78.999,-6.215,0.0281,0.76,0.639,0,0.101,0.127,0.493,2.4453
4OuzIelrbJ80m9p8u0pdhD,LOOP/TUSCYBOYZ,Maikel,LOOP/TUSCYBOYZ,Hip-Hop,76.108,-9.273,0.264,0.635,0.376,4.4e-6,0.123,0.0898,0.361,2.5543
4Kprr9AqphpdVleCAVZ8U5,Wo du nicht bist,EstA,Wo du nicht bist,Hip-Hop,79.998,-8.045,0.122,0.795,0.694,0,0.133,0.22,0.703,2.0541
4UiyqtfesTdX46vabNNVnv,Gengar,YFG Pave,Gengar,Hip-Hop,129.995,-7.932,0.192,0.741,0.626,0,0.144,0.0914,0.144,2.9846
3e5b6b767hp4rka8nmH8mc,Niederlande,Tua,Niederlande,Hip-Hop,83.033,-9.081,0.55,0.671,0.547,0,0.536,0.0441,0.566,2.5989
1URoWbU7Lg1YvtG4FHrjtO,Alle im Schlamm,Sevi Rin,Alle im Schlamm,Hip-Hop,119.972,-8.844,0.118,0.554,0.587,0,0.139,0.393,0.179,2.6715
0GPDpGqHk726gOyNjhZBgE,Herz-Emoji,Pa Ruskij,Herz-Emoji,Hip-Hop,167.971,-10.258,0.294,0.559,0.607,2.22e-4,0.151,0.117,0.48,2.0952
6hrcBq2shl3dnT8qyrg9hk,Siehst du mich nicht (feat. vito),Nio,Siehst du mich nicht (feat. vito),Hip-Hop,101.455,-8.77,0.118,0.801,0.515,0,0.109,0.166,0.611,3.1972
5818GWSTuJelqbmByc43to,Testa Rottadam,Riccardo,Testa Rottadam,Hip-Hop,84.922,-4.702,0.105,0.52,0.718,0,0.105,0.308,0.475,2.3529
4ALh2qtPQliiVJbeXswc3f,In mein Bag,Gola Gianni,In mein Bag,Hip-Hop,130.09,-10.012,0.148,0.78,0.453,0.00156,0.462,0.0429,0.391,2.4308
72IybHS5VyjhKcMOYzrjBV,Unter einer Sonne,Ramzey,Unter einer Sonne,Hip-Hop,129.848,-9.034,0.0774,0.683,0.317,2.22e-4,0.233,0.0508,0.0613,2.2583
5ChTBvTQrpHMLVQfiKddX8,ICH WAR,D1NO,ICH WAR,Hip-Hop,119.987,-6.625,0.0795,0.607,0.549,5.6e-4,0.146,0.1,0.145,2.4119
60Zc1B4Dnnw80mjRbUW82y,Nah Homie,DELA,Nah Homie,Hip-Hop,159.927,-8.466,0.0378,0.759,0.476,1.06e-6,0.0833,0.316,0.589,2.6002
1P1gN76B2DOlstgcHRQ09O,Drapalin,Antifuchs,Detox,Hip-Hop,86.005,-6.139,0.0229,0.825,0.693,4.55e-4,0.0386,0.19,0.623,2.1163
3kSc1dKoy1yD9QtgNG5zQa,Ghetto Panorama II,Anonym,Ghetto Panorama II,Hip-Hop,95.173,-7.026,0.235,0.778,0.752,0,0.0967,0.481,0.43,2.4917
7IWvILzOhzkovSLdiRqs9o,Männer Lügen,Charisma,Männer Lügen,Hip-Hop,110.145,-10.155,0.382,0.797,0.394,0,0.107,0.144,0.548,2.7999
7p1Jk8rIO2ZLAojFgBTrIR,Banlieu,Hemso,Banlieu,Hip-Hop,94.492,-4.201,0.119,0.638,0.796,0,0.19,0.429,0.651,2.9036
2PiZe6jvv4nBVYRh8PzPUh,Weisser Staub,CARY,Weisser Staub,Hip-Hop,119.962,-10.428,0.608,0.776,0.473,2.31e-5,0.216,0.247,0.478,2.8631
5mIMA0poDQeUAzMYiTIV6N,Move,ELLE YEN,Move,Hip-Hop,113.073,-5.395,0.103,0.871,0.663,9.91e-6,0.115,0.0458,0.31,2.4779
6JY6LDswOa0ZRMVlD5nzRX,Fantasie,Lolito,Fantasie,Hip-Hop,110.938,-7.291,0.0845,0.544,0.747,0.0126,0.141,0.0813,0.232,3.1875
4FU2L3Oh34yyU8R8wDWDA1,Peak der Männlichkeit,Dea Bbz,Peak der Männlichkeit,Hip-Hop,136.952,-7.881,0.11,0.828,0.801,5.95e-4,0.126,0.185,0.925,2.369
0FfFUTDK4d1NitTXv5ojy1,MHA,Sero El Mero,MHA,Hip-Hop,133.308,-4.573,0.138,0.57,0.789,0,0.17,0.364,0.657,2.584
5k3I3hb3ouwr1ttrjxE13x,Paparazzi,Ardian Bujupi,Paparazzi,Hip-Hop,105.017,-10.8,0.221,0.858,0.421,0.0461,0.0817,0.0776,0.52,2.5181
7gQwzl8rXRpe0rTOTU5pyb,"Champions League (feat. Haaland936, Aymen & Amo)",Rap La Rue,"Champions League (feat. Haaland936, Aymen & Amo)",Hip-Hop,141.979,-6.021,0.1,0.77,0.704,0,0.174,0.0606,0.67,2.7124
38kmnVWMW8h5GpnRgNQueB,Ma Jolie,MADE,Ma Jolie,Hip-Hop,95.638,-9.977,0.651,0.661,0.569,2.98e-6,0.0887,0.272,0.458,2.8333
5TcDi7siTwegIfZYR4VekF,TMAX,DANO,TMAX,Hip-Hop,115.03,-9.95,0.262,0.856,0.419,4.36e-5,0.138,0.128,0.355,2.4411
7kXUQYKAZAgnhv617HTpEf,BABE,BOJAN,BABE,Hip-Hop,92.971,-7.243,0.0047,0.683,0.613,0,0.0706,0.262,0.67,2.8665
3aeCyLTeN6ypImKPtdjYjZ,Allo,Moha K,Allo,Hip-Hop,80.032,-6.108,0.322,0.825,0.571,0,0.0888,0.254,0.369,3.2562
1D0kYwRjSpYq7s7iieS8Oi,Brazil Funk Freestyle 🇧🇷,Bobby Vandamme,Brazil Funk Freestyle 🇧🇷,Hip-Hop,131.953,-13.031,0.183,0.927,0.203,1.21e-4,0.034,0.442,0.743,2.183
7JPVbntiN50pjt6zgHUp1C,Papaya,Zuna,Papaya,Hip-Hop,115.925,-7.849,0.386,0.671,0.534,5.48e-6,0.107,0.148,0.442,2.4171
3BzqMLJnK8bHmlnKssixn5,REIN GEHEN,Jamal,REIN GEHEN,Hip-Hop,139.619,-7.57,0.417,0.628,0.621,2.92e-6,0.139,0.094,0.313,2.5357
0Ku0BoIMWmwcvKm8mOMrki,Auf dem Weg,Mikael,Auf dem Weg,Hip-Hop,120.046,-9.703,0.568,0.775,0.492,0.00321,0.135,0.171,0.259,2.1417
11sME7QBXXMvBmjNr6sPIv,Familia (feat. Morad),Luciano,Seductive,Hip-Hop,125.083,-6.687,0.163,0.82,0.556,0.00276,0.14,0.261,0.546,2.8938
0B60eFFKvkVJVkGQVPyPXH,Malembe (feat. SAINT & Le Malade),Rap La Rue,Malembe (feat. SAINT & Le Malade),Hip-Hop,118.864,-7.007,0.619,0.769,0.635,5.66e-5,0.232,0.189,0.852,2.3236
7ywjWGh46DoqUCtaYkJcZh,Weg Von Hier,MADE,Weg Von Hier,Hip-Hop,126.091,-6.704,0.734,0.792,0.754,0.0324,0.245,0.0471,0.455,2.6059
3r7sw5soVrbMM5jX6ScvYX,Pse,Dardan,Pse,Hip-Hop,126.576,-6.542,0.323,0.59,0.571,2.12e-6,0.103,0.284,0.425,2.75
5XO5xTh36v4kdblErCUk4k,Imaginando (feat. Morad & MERO),Eno,Imaginando (feat. Morad & MERO),Hip-Hop,126.965,-7.782,0.592,0.872,0.57,4.14e-5,0.104,0.135,0.719,3.1665
5cHPMo64nOHGBORMiHRAHk,Fühlst du,Jazeek,Fühlst du,Hip-Hop,92.563,-7.553,0.0391,0.712,0.715,1.85e-6,0.137,0.28,0.588,2.2581
5LeiVdGtVjwRocR3TDQvcN,Killa,Hava,Killa,Hip-Hop,100.042,-7.377,0.414,0.781,0.574,4.93e-4,0.121,0.0474,0.54,2.8
13sDAmZXzKXctwIIvL9RFd,PALMA,Dhurata Dora,PALMA,Hip-Hop,126.016,-6.31,0.0786,0.84,0.777,3.31e-4,0.114,0.0504,0.462,2.4623
1TZIDHEl70DzL5BxhBXucH,Montpellier,Bobby Vandamme,Montpellier,Hip-Hop,115.028,-6.349,0.0617,0.805,0.669,0,0.144,0.153,0.467,2.6628
75DdaV9r56VZiSpXh8fsUY,Baile Funk im Blut,Jazeek,Baile Funk im Blut,Hip-Hop,127.88,-6.988,0.212,0.809,0.665,1.93e-4,0.137,0.102,0.503,3.0078
2RMALBOw1E6ZDJJEPGrKif,TIKI TAKA,Ashafar,TIKI TAKA,Hip-Hop,138.099,-5.295,0.513,0.798,0.799,2.71e-4,0.186,0.163,0.811,3.8141
2HhiBxUs6rHRVsw6prFbYn,Bona,Azet,Bona,Hip-Hop,105.039,-5.11,0.208,0.846,0.793,1.55e-5,0.0834,0.0731,0.455,2.5061
6hjck7ERXicpsW51UkdHCA,Safari,Maxwell,Safari,Hip-Hop,129.996,-7.767,0.243,0.834,0.768,5.18e-6,0.142,0.205,0.738,2.6495
4nYZgQFAD8ARv7mBFwtn79,Bunker Paket,BARÉ,Bunker Paket,Hip-Hop,140.033,-8.009,0.38,0.741,0.58,8.6e-6,0.109,0.0744,0.423,2.5928
5obtXG3NaPZykEFPWRPTPo,Malli,Dardan,Malli,Hip-Hop,121.992,-5.716,0.119,0.827,0.668,4.25e-5,0.111,0.0419,0.767,2.7333
5BfCoUcWNXcpyJfjXRIeyC,Moulaga,Heuss L'enfoiré,Moulaga,Hip-Hop,125.051,-4.664,0.327,0.71,0.699,4.64e-6,0.0975,0.1,0.484,2.9978
2lckikJBGAkGIXXq6ZPjsr,Lüg mich an,Jazeek,Lüg mich an,Hip-Hop,120.035,-6.279,0.0425,0.818,0.82,5.77e-5,0.114,0.209,0.158,2.7333
3LHEkrzQf5Von16auXW10H,Bebeğim,Ali471,Bebeğim,Hip-Hop,97.131,-6.025,0.341,0.794,0.439,1.57e-4,0.0978,0.0453,0.502,2.6899
3RVnrzdtHaAqc2pPevMX6K,Come closer,CALO,Come closer,Hip-Hop,93.181,-6.871,0.152,0.779,0.536,0,0.0908,0.139,0.964,2.2796
4pXxza5VlUMy0edWCutDGW,Ma Jolie,Zuna,SOS,Hip-Hop,139.905,-7.957,0.21,0.876,0.646,0.00732,0.113,0.0667,0.852,2.5857
44IkrAeQhRxZpuyshIeVEW,2011,Dardan,Emerald,Hip-Hop,177.915,-3.12,0.0432,0.659,0.798,7.33e-5,0.112,0.177,0.568,3.8333
5QX1473aoYEtP2Bi0BI0HL,Cold Princess,Luciano,Seductive,Hip-Hop,125.011,-8.683,0.0075,0.872,0.612,0.00132,0.108,0.355,0.787,2.5625
26Xw6pZmwdEIOWii6OKuzT,Niemand,Hava,Kein Märchen,Hip-Hop,105.065,-7.398,0.0723,0.813,0.513,7.31e-6,0.0959,0.0725,0.666,2.6667
2AQjQLPLY5EZ667L2Z9M0D,La 3youne,Zuna,La 3youne,Hip-Hop,145.044,-5.719,0.275,0.828,0.785,0.00928,0.0952,0.0585,0.575,3.1298
4x3nYUiOIQRxniDbY4vC4K,NEYSE,UZI,YOUNGSTA,Hip-Hop,104.897,-7.038,0.0414,0.72,0.722,0,0.163,0.185,0.659,2.499
15vOV5mgjINxOv5r6iWV5e,Lieb mich auch,Ra'is,Lieb mich auch,Hip-Hop,119.908,-9.312,0.84,0.699,0.569,7.63e-6,0.25,0.278,0.469,2.1833
3W1gcI6gsmwzHSJRr6TQlo,Sommerregen,SRNO,Sommerregen,Hip-Hop,119.957,-6.79,0.239,0.863,0.834,1.83e-5,0.101,0.228,0.533,2.4333
6susW8spInEVk0vKE33aWd,PSYCHO (feat. MERO),CAPO,PSYCHO (feat. MERO),Hip-Hop,135.225,-7.949,0.171,0.563,0.577,4.71e-4,0.194,0.14,0.254,2.6884
5TtleMfzmuJjjd3iVG07XH,Pretty Lady,ARY,Pretty Lady,Hip-Hop,96.997,-6.578,0.294,0.678,0.624,5.57e-6,0.119,0.243,0.273,2.6635
3tn0kkV9D2S0wxU754dJTO,Sag niemals,badmómzjay,Survival Mode,Hip-Hop,129.362,-9.735,0.289,0.729,0.536,2.15e-4,0.111,0.0688,0.45,2.4809
4Ohvc10MaSa8OgKX5LBaSU,Caliente (feat. Jamal),Kurdo,Caliente (feat. Jamal),Hip-Hop,96.033,-7.778,0.154,0.858,0.586,0,0.621,0.182,0.634,2.4323
6J0SQDivKAuZ0Bbwfrgqb1,Savage,MERO,Savage,Hip-Hop,145.994,-5.824,0.0821,0.819,0.644,1.02e-5,0.192,0.113,0.636,2.3154
1KVRICIgKjo1RTB3ZRkAL2,ÜBERALL (feat. Jamal),Safraoui,ÜBERALL (feat. Jamal),Hip-Hop,175.996,-5.908,0.0693,0.681,0.684,0,0.0659,0.0809,0.66,2.8182
2xve0qJZJkcJD4BlwXg1xs,Du,Nimo,Du,Hip-Hop,142.469,-7.407,0.0567,0.624,0.615,3.1e-6,0.206,0.231,0.648,2.9014
4rHhOF2PvCPYbQsLxUKsUG,SCHWARZ,Jamal,SCHWARZ,Hip-Hop,129.63,-7.702,0.0933,0.698,0.598,0,0.289,0.102,0.375,2.9077
3pyZgbg3uC8NlBQ3E81zlb,Normal,Hava,Normal,Hip-Hop,97.003,-6.993,0.18,0.809,0.555,0,0.0715,0.0834,0.71,2.775
0ya0fBUHF1TKookyKM5ZVQ,Take it,Jazeek,Take it,Hip-Hop,114.045,-7.237,0.0262,0.739,0.668,0.251,0.248,0.0471,0.579,2.8684
0fu8IDTHrJgnUMgJmhrWRa,Mami (feat. BIA),Luciano,Seductive,Hip-Hop,141.872,-6.075,0.0156,0.756,0.654,3.5e-4,0.161,0.257,0.311,2.9758
5YWu6dt50Nieq8qi572RF8,9 bis 9,SIRA,9 bis 9,Hip-Hop,128.055,-8.518,0.364,0.767,0.539,0.0397,0.0772,0.0629,0.368,2.1921
6fsbuVwtZHq8bCfUOfmkNL,Breaking your heart,Apache 207,Gartenstadt,Hip-Hop,164.965,-4.667,0.0337,0.701,0.857,8.83e-5,0.122,0.0432,0.232,2.843
2q7jpVfCtcuRwcur9nQeuC,PARADISE (MIT DIR),Liaze,MIXED FEELINGS,Hip-Hop,139.998,-8.495,0.269,0.666,0.534,8.73e-4,0.068,0.0828,0.392,3.2163
3ilgxZl5g7MOQCUiky3VOG,Ms. Jackson,Pashanim,Ms. Jackson,Hip-Hop,81.99,-7.334,0.163,0.774,0.7,3.24e-5,0.169,0.266,0.624,2.4598
5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),Miksu / Macloud,Nachts wach,Hip-Hop,155.002,-4.4,0.165,0.667,0.849,4.8e-5,0.107,0.124,0.752,2.6347
7sJNeWTXkZCEC7OnFMpGWL,Bamba (feat. Aitch & BIA),Luciano,Majestic,Hip-Hop,138.026,-6.281,0.119,0.797,0.791,0,0.113,0.33,0.828,3.3927
4evyMjgTKhrBfggfxFRAKr,KETAMIN,YAKARY,KETAMIN,Hip-Hop,86.891,-5.504,0.0796,0.601,0.769,0,0.136,0.394,0.527,2.8708
